"coefficient","value"
"logsize_t032",0.868891330270058
"logsize_t034",0.319915032912002
"logsize_t035",0.534481417591229
"logsize_t036",0.809674362150698
"logsize_t037",0.826236290162148
"logsize_t038",0.952965347586895
"logsize_t039",0.884820685216996
"logsize_t040",0.583679681138684
"logsize_t041",0.655599660951789
"logsize_t042",0.560250414290638
"logsize_t043",0.657151097586438
"logsize_t044",0.891309339795481
"logsize_t045",0.84550818268366
"logsize_t046",1.00380799644739
"logsize_t047",0.709110991945782
"logsize_t048",0.771402432729311
"logsize_t049",0.600674788810111
"logsize_t050",0.634721152649113
"logsize_t051",0.757988202145147
"logsize_t052",0.669140861782811
"logsize_t053",0.682934978425169
"logsize_t054",0.846335878066405
"logsize_t055",0.784397051780799
"logsize_t056",0.493845304061597
"logsize_t057",0.394814486118078
"logsize_t058",0.649870541130752
"logsize_t059",0.59807832733061
"logsize_t060",0.662864075853342
"logsize_t061",0.415447312630667
"logsize_t062",0.662826488552271
"logsize_t063",0.455351572475474
"logsize_t064",0.303987335812613
"logsize_t065",0.711567874291543
"logsize_t066",0.556459819154243
"logsize_t067",0.801465868424702
"logsize_t068",0.599637562150358
"logsize_t069",0.593782233578121
"logsize_t070",0.644511058898643
"logsize_t071",0.704472418375761
"year32",-2.74997036067984
"year34",0.635498721382634
"year35",-0.107922458697764
"year36",-1.17511394305687
"year37",-1.07839116549644
"year38",-1.59432657849311
"year39",-2.69174310155481
"year40",-0.564543792397804
"year41",-1.24214611960338
"year42",-0.397993146451746
"year43",-0.586233442087092
"year44",-1.83164136288029
"year45",-1.69749217820233
"year46",-2.34518990255437
"year47",-0.939767910552142
"year48",-1.08340838748387
"year49",0.12189916914858
"year50",-0.381065429338039
"year51",-1.83623481072732
"year52",-0.626114554288801
"year53",-0.301824267052522
"year54",-1.56728768740632
"year55",-2.35227728309218
"year56",-0.589569651426171
"year57",-0.767071053037093
"year58",-1.90414719338594
"year59",-0.993803326474766
"year60",-0.757950919642821
"year61",-1.19850866356786
"year62",-2.46480284637667
"year63",-0.935374037435257
"year64",-0.061347952425558
"year65",-2.83812337646769
"year66",-1.72639708861763
"year67",-2.38958710826285
"year68",-2.82477433415089
"year69",-2.39520106667412
"year70",-1.4870783894168
"year71",-0.164940874915332
